RU;70;1983;TransparentCalls;0.67;389;32;41
US;0;61;E-Voice;0.89;762;87;58
GB;24;1463;TransparentCalls;0.83;701;15;55
FR;20;1761;TransparentCalls;0.87;809;22;34
BL;91;420;E-Voice;0.99;70;79;30
AT;70;957;TransparentCalls;0.88;539;67;24
BG;0;45;E-Voice;0.65;303;87;19
DK;97;1305;JustPhone;0.72;162;64;30
CA;99;1855;JustPhone;0.96;764;19;28
ES;12;1332;E-Voice;0.98;477;22;39
CH;61;1771;JustPhone;0.75;487;59;38
TR;4;1010;TransparentCalls;0.86;442;72;36
PE;3;1382;JustPhone;0.64;881;8;40
NZ;71;1134;JustPhone;0.86;105;72;13
MC;71;774;E-Voice;0.78;294;28;20
